name,isin,type,dtcreated
Borussia Dortmund GmbH & Co. KGaA,DE0005493092,0,2016-02-19 11:59:56
Borussia Dortmund GmbH & Co. KGaA,DE0005493092,0,2016-02-19 11:59:56
Sachsenmilch AG,DE000A0DRXC4,0,2016-02-19 14:39:45
Vereinigte Filzfabriken AG,DE0007617003,0,2016-02-19 14:56:01
DEIKON GmbH i.I.,DE000A0EPM07,0,2016-02-19 15:38:46
i:FAO Aktiengesellschaft,DE0006224520,0,2016-02-19 15:58:34
Steinhoff International Holdings N.V.,NL0011375019,0,2016-02-19 18:30:05
Energiedienst Holding AG,CH0039651184,0,2016-02-22 06:54:18
New Work SE,DE000NWRK013,0,2016-02-22 07:40:02
New Work SE,DE000NWRK013,0,2016-02-22 07:40:02
Leoni AG,DE0005408884,0,2016-02-22 08:31:27
Leoni AG,DE0005408884,0,2016-02-22 08:31:27
AlzChem Group AG,DE000A2YNT30,0,2016-02-22 10:38:16
Syzygy AG,DE0005104806,0,2016-02-22 12:18:12
Syzygy AG,DE0005104806,0,2016-02-22 12:18:12
VALORA EFFEKTEN HANDEL AG,DE0007600108,0,2016-02-22 13:05:21
SPORTTOTAL AG,DE000A1EMG56,0,2016-02-22 15:45:01
Gigaset AG,DE0005156004,0,2016-02-23 10:00:56
Gigaset AG,DE0005156004,0,2016-02-23 10:00:56
AREAL Immobilien und Beteiligungs-AG,DE000A1RFGW0,0,2016-02-23 10:22:35
Delticom AG,DE0005146807,0,2016-02-23 14:28:16
Delticom AG,DE0005146807,0,2016-02-23 14:28:16
Viscom AG,DE0007846867,0,2016-02-23 14:59:57
Viscom AG,DE0007846867,0,2016-02-23 14:59:57
Deutsche Börse AG,DE0005810055,0,2016-02-23 15:36:53
Deutsche Börse AG,DE0005810055,0,2016-02-23 15:36:53
HUGO BOSS AG,DE000A1PHFF7,0,2016-02-23 17:05:27
HUGO BOSS AG,DE000A1PHFF7,0,2016-02-23 17:05:27
Airbus SE,NL0000235190,0,2016-02-24 07:00:03
Airbus SE,NL0000235190,0,2016-02-24 07:00:03
Accu Holding AG,CH0001366332,0,2016-02-24 07:00:09
Accu Holding AG,CH0001366332,0,2016-02-24 07:00:09
Fresenius SE & Co. KGaA,DE0005785604,0,2016-02-24 07:00:22
Fresenius SE & Co. KGaA,DE0005785604,0,2016-02-24 07:00:22
Bayer Aktiengesellschaft,DE000BAY0017,0,2016-02-24 10:58:18
Bayer Aktiengesellschaft,DE000BAY0017,0,2016-02-24 10:58:18
SPORTTOTAL AG,DE000A1EMG56,0,2016-02-24 11:07:10
Strabag AG,DE000A0Z23N2,0,2016-02-24 12:45:11
SPORTTOTAL AG,DE000A1EMG56,0,2016-02-24 13:42:36
MLP SE,DE0006569908,0,2016-02-24 17:41:56
MLP SE,DE0006569908,0,2016-02-24 17:41:56
Aareal Bank AG,DE0005408116,0,2016-02-24 18:15:42
Aareal Bank AG,DE0005408116,0,2016-02-24 18:15:42
DVB Bank SE,XS1433231377,0,2016-02-25 11:00:07
DVB Bank SE,XS1433231377,0,2016-02-25 11:00:07
Sartorius AG,DE0007165607,0,2016-02-25 12:06:56
Sartorius AG,DE0007165607,0,2016-02-25 12:06:56
HUGO BOSS AG,DE000A1PHFF7,0,2016-02-25 13:32:42
HUGO BOSS AG,DE000A1PHFF7,0,2016-02-25 13:32:42
IVU Traffic Technologies AG,DE0007448508,0,2016-02-25 13:55:40
IVU Traffic Technologies AG,DE0007448508,0,2016-02-25 13:55:40
WashTec AG,DE0007507501,0,2016-02-25 16:17:56
WashTec AG,DE0007507501,0,2016-02-25 16:17:56
SGL CARBON SE,DE0007235301,0,2016-02-25 18:28:31
SGL CARBON SE,DE0007235301,0,2016-02-25 18:28:31
DF Deutsche Forfait AG,DE000A2AA204,0,2016-02-25 20:42:46
DF Deutsche Forfait AG,DE000A2AA204,0,2016-02-25 20:42:46
GERRY WEBER INTERNATIONAL AG,DE000A255G36,0,2016-02-26 07:25:31
GERRY WEBER INTERNATIONAL AG,DE000A255G36,0,2016-02-26 07:25:31
Deutsche Börse AG,DE0005810055,0,2016-02-26 09:03:04
Deutsche Börse AG,DE0005810055,0,2016-02-26 09:03:04
adesso SE,DE000A0Z23Q5,0,2016-02-26 12:24:22
adesso SE,DE000A0Z23Q5,0,2016-02-26 12:24:22
MediClin AG,DE0006595101,0,2016-02-26 12:54:56
MediClin AG,DE0006595101,0,2016-02-26 12:54:56
SPORTTOTAL AG,DE000A1EMG56,0,2016-02-26 18:26:45
SPORTTOTAL AG,DE000A1EMG56,0,2016-02-26 18:26:45
